Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,18.58,27.93,24.25,33.01,1.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,25.08,27.93,24.25,33.01,4.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,23.97,27.93,24.25,33.01,3.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,34.75,27.93,24.25,33.01,9.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,20.97,27.93,24.25,33.01,2.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,31.58,27.93,24.25,33.01,7.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,25.68,27.93,24.25,33.01,5.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,33.48,27.93,24.25,33.01,8.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0017,Mean response time to category 2 calls,2026/27 to June,count,38.8,27.93,24.25,33.01,10.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.13,6.11,5.68,6.4,5.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.47,6.11,5.68,6.4,2.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.46,6.11,5.68,6.4,3.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.67,6.11,5.68,6.4,1.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.1,6.11,5.68,6.4,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,5.66,6.11,5.68,6.4,8.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,5.55,6.11,5.68,6.4,9.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,6.23,6.11,5.68,6.4,4.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,5.54,6.11,5.68,6.4,10.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Experience of care,Experience,OF0047,NHS staff survey advocacy sub-score,Dec-25,rate,5.75,6.11,5.68,6.4,7.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,6.0,5.94,5.73,6.1,4.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,6.13,5.94,5.73,6.1,3.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,6.15,5.94,5.73,6.1,2.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,6.27,5.94,5.73,6.1,1.0
