Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2025/26,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,30.33,26.77,24.68,32.06,7.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,20.53,26.77,24.68,32.06,1.0
Q1 2025/26,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,24.35,26.77,24.68,32.06,3.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,25.67,26.77,24.68,32.06,4.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,32.63,26.77,24.68,32.06,8.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,21.93,26.77,24.68,32.06,2.0
Q1 2025/26,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,33.77,26.77,24.68,32.06,9.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,27.45,26.77,24.68,32.06,6.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,26.08,26.77,24.68,32.06,5.0
Q1 2025/26,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Access to services,Urgent and emergency care,OF0017,Average Category 2 ambulance response time,Q1 2025,mins,36.15,26.77,24.68,32.06,10.0
Q1 2025/26,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,49.7,49.35,48.48,52.35,6.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,54.5,49.35,48.48,52.35,10.0
Q1 2025/26,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,51.6,49.35,48.48,52.35,7.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,52.6,49.35,48.48,52.35,8.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,46.0,49.35,48.48,52.35,2.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,48.4,49.35,48.48,52.35,3.0
Q1 2025/26,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,48.7,49.35,48.48,52.35,4.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,53.0,49.35,48.48,52.35,9.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,49.0,49.35,48.48,52.35,5.0
Q1 2025/26,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Effectiveness and experience,Effective out of hospital care,OF0028,Percentage of ambulance patients conveyed to emergency departments,Year to date 25/26,%,45.2,49.35,48.48,52.35,1.0
Q1 2025/26,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.17,6.2,5.87,6.3,6.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.23,6.2,5.87,6.3,5.0
Q1 2025/26,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.45,6.2,5.87,6.3,2.0
Q1 2025/26,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.58,6.2,5.87,6.3,1.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.31,6.2,5.87,6.3,3.0
Q1 2025/26,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,5.94,6.2,5.87,6.3,7.0
Q1 2025/26,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,5.85,6.2,5.87,6.3,8.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,6.25,6.2,5.87,6.3,4.0
Q1 2025/26,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,5.7,6.2,5.87,6.3,10.0
Q1 2025/26,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Effectiveness and experience,Patient experience,OF0047,NHS staff survey advocacy score,2024,out of 10,5.73,6.2,5.87,6.3,9.0
